movie,network_trace,algorithm,buffer size,total played utility,time average played utility,total played bitrate,time average played bitrate,total play time,total play time chunks,total rebuffer,rebuffer ratio,time average rebuffer,total rebuffer events,time average rebuffer events,total bitrate change,time average bitrate change,total log bitrate change,time average log bitrate change,time average score,over estimate count,over estimate,leq estimate count,leq estimate,estimate,rampup time,total reaction time,qoe
../data/bbb.json,../data/hd_fs/trace0776.json,ABR_A2C.py,25000.0,645.764217,2.7786,1188230.0,5112.726813,697.218946,232.406315,99.76296,0.143087,0.429261,19.0,0.081753,5770.0,24.827208,3.261435,0.014033,2.063165,47.0,3109.402469,151.0,7476.599214,-4963.760431,8.634423,0.0,510.64793334100005
../data/bbb.json,../data/hd_fs/trace0089.json,ABR_A2C.py,25000.0,645.764217,2.674044,1188230.0,4920.339081,724.480557,241.493519,126.809301,0.175035,0.525104,14.0,0.057973,5770.0,23.892981,3.261435,0.013505,1.79887,45.0,3899.576703,153.0,9807.35715,-6692.14491,13.700807,0.0,491.43160758947624
../data/bbb.json,../data/hd_fs/trace0992.json,ABR_A2C.py,25000.0,645.764217,2.842883,1188230.0,5231.01011,681.453472,227.151157,84.090187,0.123398,0.370195,20.0,0.088047,5770.0,25.401588,3.261435,0.014358,2.225892,42.0,2288.0195,156.0,8465.342323,-6184.326179,7.068175,0.0,522.4624632616668
../data/bbb.json,../data/hd_fs/trace0405.json,ABR_A2C.py,25000.0,645.764217,2.646305,1188230.0,4869.298787,732.074608,244.024869,134.312263,0.183468,0.550404,10.0,0.040979,5770.0,23.645131,3.261435,0.013365,1.728965,19.0,4334.700775,179.0,6217.648947,-5205.049732,15.306187,0.0,486.33353469185715
../data/bbb.json,../data/hd_fs/trace0582.json,ABR_A2C.py,25000.0,645.764217,2.804227,1188230.0,5159.881299,690.847288,230.282429,93.394706,0.135189,0.405566,18.0,0.078165,5770.0,25.056189,3.261435,0.014163,2.128284,25.0,4610.601368,173.0,7034.804862,-5564.425287,8.505965,5.0,515.3578819543333
../data/bbb.json,../data/hd_fs/trace0630.json,ABR_A2C.py,25000.0,645.764217,2.701891,1188230.0,4971.579345,717.013599,239.004533,119.442037,0.166583,0.499748,15.0,0.06276,5770.0,24.141802,3.261435,0.013646,1.868978,19.0,4011.9075,179.0,6821.09189,-5781.561646,11.545326,0.0,496.54965374276196
../data/bbb.json,../data/hd_fs/trace0088.json,ABR_A2C.py,25000.0,645.764217,2.733273,1188230.0,5029.323244,708.781247,236.260416,110.942817,0.156526,0.469579,17.0,0.071954,5770.0,24.422204,3.261435,0.013804,1.950642,17.0,5451.796106,181.0,7564.843401,-6447.25314,14.718154,4.718154,502.3173194799524
../data/bbb.json,../data/hd_fs/trace0346.json,ABR_A2C.py,25000.0,645.764217,2.782285,1188230.0,5119.506654,696.295608,232.098536,98.784822,0.141872,0.425616,19.0,0.081862,5770.0,24.860131,3.261435,0.014052,2.072925,29.0,3246.854123,169.0,6329.36294,-4926.785694,8.967088,5.0,511.32512890671427
../data/bbb.json,../data/hd_fs/trace0275.json,ABR_A2C.py,25000.0,645.764217,2.71243,1188230.0,4990.970843,714.227775,238.075925,116.576464,0.16322,0.489661,16.0,0.067205,5770.0,24.235966,3.261435,0.013699,1.896328,56.0,2811.726813,142.0,10157.83467,-6489.675867,12.607182,0.0,498.4865450290952
../data/bbb.json,../data/hd_fs/trace0811.json,ABR_A2C.py,25000.0,645.764217,2.738687,1188230.0,5039.284755,707.380149,235.793383,109.869363,0.155319,0.465956,16.0,0.067856,5770.0,24.470576,3.261435,0.013832,1.962093,36.0,2781.055076,162.0,5635.651842,-4105.341494,9.444627,0.0,503.31229561219044
../data/bbb.json,../data/hd_fs/trace0462.json,ABR_A2C.py,25000.0,645.764217,2.667419,1188230.0,4908.150169,726.279734,242.093245,128.578966,0.177038,0.531113,14.0,0.057829,5770.0,23.833792,3.261435,0.013472,1.78223,16.0,6435.593533,182.0,10067.707527,-8734.107442,14.441938,0.0,490.2141391720476
../data/bbb.json,../data/hd_fs/trace0078.json,ABR_A2C.py,25000.0,645.764217,2.712376,1188230.0,4990.871099,714.242049,238.080683,116.673219,0.163352,0.490057,16.0,0.067204,5770.0,24.235482,3.261435,0.013699,1.895613,33.0,4329.178501,165.0,9563.894255,-7248.382129,12.169715,0.0,498.47657897652385
../data/bbb.json,../data/hd_fs/trace0831.json,ABR_A2C.py,25000.0,645.764217,2.757563,1188230.0,5074.017293,702.538008,234.179336,104.996005,0.149452,0.448357,18.0,0.076864,5770.0,24.639236,3.261435,0.013927,2.010301,58.0,1914.899087,140.0,6375.215451,-3946.798061,9.718855,0.0,506.78149968366665
../data/bbb.json,../data/hd_fs/trace0650.json,ABR_A2C.py,25000.0,645.764217,2.744765,1188230.0,5050.468663,705.813705,235.271235,108.2539,0.153375,0.460124,16.0,0.068007,5770.0,24.524885,3.261435,0.013862,1.977892,32.0,2774.963566,166.0,8264.795996,-6480.592431,10.627353,0.0,504.4293839523333
../data/bbb.json,../data/hd_fs/trace0806.json,ABR_A2C.py,25000.0,645.764217,2.657225,1188230.0,4889.392163,729.066085,243.022028,131.271294,0.180054,0.540162,12.0,0.049378,5770.0,23.742704,3.261435,0.01342,1.756955,54.0,2559.271444,144.0,10029.067695,-6595.884293,15.4023,0.0,488.3405300220001
../data/bbb.json,../data/hd_fs/trace0474.json,ABR_A2C.py,25000.0,645.764217,2.666992,1188230.0,4907.363411,726.396173,242.132058,128.11175,0.176366,0.529099,14.0,0.05782,5770.0,23.829971,3.261435,0.01347,1.785161,17.0,10574.105048,181.0,11668.1937,-9758.501384,18.781349,10.0,490.1355779820953
../data/bbb.json,../data/hd_fs/trace0470.json,ABR_A2C.py,25000.0,645.764217,2.666361,1188230.0,4906.202653,726.568031,242.189344,128.77594,0.177239,0.531716,14.0,0.057806,5770.0,23.824335,3.261435,0.013466,1.780168,21.0,6072.92562,177.0,7609.247583,-6158.108001,14.807402,0.0,490.0196182829048
../data/bbb.json,../data/hd_fs/trace0052.json,ABR_A2C.py,25000.0,645.764217,2.69306,1188230.0,4955.329537,719.364872,239.788291,121.57613,0.169005,0.507014,14.0,0.058385,5770.0,24.062893,3.261435,0.013601,1.848036,25.0,2925.168185,173.0,6102.047576,-4962.247606,13.684183,0.0,494.9265768137619
../data/bbb.json,../data/hd_fs/trace0606.json,ABR_A2C.py,25000.0,645.764217,2.473063,1188230.0,4550.527128,783.357598,261.119199,184.731873,0.235821,0.707462,13.0,0.049786,5770.0,22.097188,3.261435,0.01249,1.29396,49.0,2703.636236,149.0,6233.745798,-4021.969436,28.633211,5.0,454.4935790553333
../data/bbb.json,../data/hd_fs/trace0569.json,ABR_A2C.py,25000.0,645.764217,2.679471,1188230.0,4930.326321,723.012995,241.004332,125.356242,0.17338,0.520141,16.0,0.066389,5770.0,23.941478,3.261435,0.013533,1.81257,44.0,2562.101718,154.0,5933.593065,-4045.660891,15.361733,0.361733,492.42916619480957
../data/bbb.json,../data/hd_fs/trace0988.json,ABR_A2C.py,25000.0,645.764217,2.667841,1188230.0,4908.925591,726.16501,242.055003,127.935787,0.17618,0.52854,14.0,0.057838,5770.0,23.837557,3.261435,0.013474,1.786941,21.0,5860.138661,177.0,9751.205019,-8095.456447,16.253958,11.253958,490.29161162928574
../data/bbb.json,../data/hd_fs/trace0188.json,ABR_A2C.py,25000.0,645.764217,2.712464,1188230.0,4991.033574,714.218798,238.072933,116.101818,0.162558,0.487673,16.0,0.067206,5770.0,24.236271,3.261435,0.013699,1.899675,31.0,6494.376756,167.0,14022.723838,-10810.450513,14.680352,9.680352,498.492829342762
../data/bbb.json,../data/hd_fs/trace0701.json,ABR_A2C.py,25000.0,645.764217,2.667688,1188230.0,4908.64428,726.206626,242.068875,128.331891,0.176715,0.530146,14.0,0.057835,5770.0,23.836191,3.261435,0.013473,1.784111,11.0,7508.047054,187.0,9938.09172,-8968.861788,16.584365,0.0,490.2634994605239
../data/bbb.json,../data/hd_fs/trace0001.json,ABR_A2C.py,25000.0,645.764217,2.667885,1188230.0,4909.006922,726.152979,242.050993,128.319058,0.176711,0.530132,14.0,0.057839,5770.0,23.837952,3.261435,0.013474,1.784331,22.0,6269.852946,176.0,9629.018057,-7862.476834,14.655753,0.0,490.29971976819047
../data/bbb.json,../data/hd_fs/trace0803.json,ABR_A2C.py,25000.0,645.764217,2.67632,1188230.0,4924.528107,723.864282,241.288094,126.12832,0.174243,0.522729,14.0,0.058022,5770.0,23.913322,3.261435,0.013517,1.805105,29.0,3370.921588,169.0,5726.506289,-4394.054731,14.256026,0.0,491.8500241704286
../data/bbb.json,../data/hd_fs/trace0110.json,ABR_A2C.py,25000.0,645.764217,2.802143,1188230.0,5156.047436,691.360978,230.453659,93.935693,0.135871,0.407612,18.0,0.078107,5770.0,25.037572,3.261435,0.014152,2.12279,33.0,3933.635351,165.0,7644.565952,-5714.865735,8.002931,0.0,514.9749416910475
../data/bbb.json,../data/hd_fs/trace0948.json,ABR_A2C.py,25000.0,645.764217,2.769578,1188230.0,5096.126312,699.490119,233.163373,102.010627,0.145836,0.437507,18.0,0.077199,5770.0,24.746597,3.261435,0.013988,2.0404,43.0,3418.077946,155.0,10993.106605,-7863.40491,8.914563,0.0,508.9898203753334
